campo,generated_at,reference_date,date_forecast,horizon_days,days_in_future,mean_ndvi_forecast,ndvi_lower_90,ndvi_upper_90,conformal_margin,confidence,model_type,source
pascolo_1,2026-09-24T12:48:11.671353+02:00,2026-09-18,2026-09-19,1,-5,0.5641,0.4565,0.6717,0.1076,high,persistence,forecast-v1.1-hybrid
pascolo_1,2026-09-24T12:48:11.682080+02:00,2026-09-18,2026-09-21,3,-3,0.5952,0.485,0.7054,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_1,2026-09-24T12:48:11.693895+02:00,2026-09-18,2026-09-25,7,1,0.6418,0.5034,0.7802,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_1,2026-09-24T12:48:11.705897+02:00,2026-09-18,2026-10-02,14,8,0.6803,0.5359,0.8247,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_2,2026-09-24T12:48:26.904243+02:00,2026-09-18,2026-09-19,1,-5,0.6293,0.5217,0.7369,0.1076,high,persistence,forecast-v1.1-hybrid
pascolo_2,2026-09-24T12:48:26.912945+02:00,2026-09-18,2026-09-21,3,-3,0.6174,0.5072,0.7276,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_2,2026-09-24T12:48:26.926279+02:00,2026-09-18,2026-09-25,7,1,0.6746,0.5362,0.813,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_2,2026-09-24T12:48:26.936983+02:00,2026-09-18,2026-10-02,14,8,0.6431,0.4987,0.7874,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_3,2026-09-24T12:48:42.134788+02:00,2026-09-18,2026-09-19,1,-5,0.5198,0.4122,0.6274,0.1076,high,persistence,forecast-v1.1-hybrid
pascolo_3,2026-09-24T12:48:42.143841+02:00,2026-09-18,2026-09-21,3,-3,0.5335,0.4233,0.6437,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_3,2026-09-24T12:48:42.156497+02:00,2026-09-18,2026-09-25,7,1,0.5756,0.4372,0.714,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_3,2026-09-24T12:48:42.168062+02:00,2026-09-18,2026-10-02,14,8,0.5611,0.4167,0.7055,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_4,2026-09-24T12:48:57.412075+02:00,2026-09-18,2026-09-19,1,-5,0.459,0.3514,0.5666,0.1076,low,persistence,forecast-v1.1-hybrid
pascolo_4,2026-09-24T12:48:57.420511+02:00,2026-09-18,2026-09-21,3,-3,0.5139,0.4037,0.6241,0.1102,low,xgboost_v11,forecast-v1.1-hybrid
pascolo_4,2026-09-24T12:48:57.431862+02:00,2026-09-18,2026-09-25,7,1,0.5834,0.445,0.7218,0.1384,low,xgboost_v11,forecast-v1.1-hybrid
pascolo_4,2026-09-24T12:48:57.442027+02:00,2026-09-18,2026-10-02,14,8,0.5657,0.4213,0.7101,0.1444,low,xgboost_v11,forecast-v1.1-hybrid
pascolo_5,2026-09-24T12:49:12.645771+02:00,2026-09-18,2026-09-19,1,-5,0.5383,0.4307,0.6459,0.1076,high,persistence,forecast-v1.1-hybrid
pascolo_5,2026-09-24T12:49:12.654225+02:00,2026-09-18,2026-09-21,3,-3,0.553,0.4428,0.6632,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_5,2026-09-24T12:49:12.665491+02:00,2026-09-18,2026-09-25,7,1,0.6467,0.5083,0.7851,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_5,2026-09-24T12:49:12.675464+02:00,2026-09-18,2026-10-02,14,8,0.6184,0.474,0.7628,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_6,2026-09-24T12:49:27.875655+02:00,2026-09-18,2026-09-19,1,-5,0.6339,0.5263,0.7415,0.1076,high,persistence,forecast-v1.1-hybrid
pascolo_6,2026-09-24T12:49:27.884104+02:00,2026-09-18,2026-09-21,3,-3,0.6224,0.5122,0.7326,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_6,2026-09-24T12:49:27.895632+02:00,2026-09-18,2026-09-25,7,1,0.6663,0.5279,0.8047,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
pascolo_6,2026-09-24T12:49:27.906021+02:00,2026-09-18,2026-10-02,14,8,0.6584,0.514,0.8028,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
bianchi_campo,2026-09-24T12:49:43.099350+02:00,2026-09-18,2026-09-19,1,-5,0.7046,0.597,0.8122,0.1076,high,persistence,forecast-v1.1-hybrid
bianchi_campo,2026-09-24T12:49:43.108111+02:00,2026-09-18,2026-09-21,3,-3,0.7192,0.609,0.8294,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
bianchi_campo,2026-09-24T12:49:43.119809+02:00,2026-09-18,2026-09-25,7,1,0.706,0.5676,0.8444,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
bianchi_campo,2026-09-24T12:49:43.130235+02:00,2026-09-18,2026-10-02,14,8,0.7,0.5557,0.8444,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
rossi_campo,2026-09-24T12:49:58.329223+02:00,2026-09-18,2026-09-19,1,-5,0.4888,0.3812,0.5964,0.1076,high,persistence,forecast-v1.1-hybrid
rossi_campo,2026-09-24T12:49:58.337394+02:00,2026-09-18,2026-09-21,3,-3,0.4878,0.3776,0.598,0.1102,medium,xgboost_v11,forecast-v1.1-hybrid
rossi_campo,2026-09-24T12:49:58.348556+02:00,2026-09-18,2026-09-25,7,1,0.5295,0.3911,0.6679,0.1384,medium,xgboost_v11,forecast-v1.1-hybrid
rossi_campo,2026-09-24T12:49:58.358408+02:00,2026-09-18,2026-10-02,14,8,0.4961,0.3517,0.6405,0.1444,medium,xgboost_v11,forecast-v1.1-hybrid
