date,mean_ndvi,mean_ndwi,delta_abs_ndvi,delta_abs_ndwi,campo,anno,source,ndvi_lower_90,ndvi_upper_90,confidence
2026-01-01,0.7347,,,,pascolo_5,2026,sentinel-1-conformal,0.5342,0.9352,medium
2026-01-06,0.7319,,,,pascolo_5,2026,sentinel-1-conformal,0.5314,0.9325,medium
2026-01-11,0.4347,,,,pascolo_5,2026,sentinel-1-conformal,0.2341,0.6352,medium
2026-01-16,0.7127,,,,pascolo_5,2026,sentinel-1-conformal,0.5121,0.9132,medium
2026-01-26,0.7102,,,,pascolo_5,2026,sentinel-1-conformal,0.5096,0.9107,medium
2026-01-27,0.6936143984206053,0.232351894743621,,,pascolo_5,2026,sentinel-2,,,
2026-01-31,0.7598,,,,pascolo_5,2026,sentinel-1-conformal,0.5592,0.9603,medium
2026-02-05,0.7497,,,,pascolo_5,2026,sentinel-1-conformal,0.5492,0.9503,medium
2026-02-10,0.7955,,,,pascolo_5,2026,sentinel-1-conformal,0.5949,0.996,medium
2026-02-13,0.8074,,,,pascolo_5,2026,sentinel-1-conformal-imputed,0.6068,1.0,medium
2026-02-15,0.8259,,,,pascolo_5,2026,sentinel-1-conformal,0.6254,1.0,medium
2026-02-21,0.7683647031197159,0.3274900641933185,0.0067791340985604,0.0472991867586655,pascolo_5,2026,sentinel-2,,,
2026-02-23,0.7927,,,,pascolo_5,2026,sentinel-1-conformal-imputed,0.5922,0.9933,medium
2026-02-25,0.7967,,,,pascolo_5,2026,sentinel-1-conformal,0.5961,0.9972,medium
2026-02-26,0.8011,,,,pascolo_5,2026,sentinel-1-conformal-imputed,0.6006,1.0,medium
2026-02-28,0.8025327532435235,0.3190627655087922,0.4743355292977779,0.2192214146954928,pascolo_5,2026,sentinel-2,,,
2026-03-02,0.7419,,,,pascolo_5,2026,sentinel-1-conformal,0.606,0.8778,high
2026-03-07,0.8058002944497541,0.3341490423013573,0.0032675412062306,0.015086276792565,pascolo_5,2026,sentinel-2,,,
